"","Бренд","Вид","Гарантия","Звуковой сигнал при закипании","Индикация включения","Кнопка открывания крышки","Корзина для заварки чая","Максимальная потребляемая мощность (Вт)","Максимальный объем (л)","Масса (кг)","Материал корпуса","Нагревательный элемент","Подсветка корпуса","Состав набора","Страна производства","Тип управления","Уникальное описание","Фильтр","Цвет","Цена, (р)"
"Kenwood SJM020A","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2390"
"Kenwood SJM021A","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","красный","2210"
"Kenwood SJM030","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","белый","4590"
"Kenwood SJM031","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","красный","3990"
"Kenwood SJM034","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","черный","3140"
"Kenwood SJM160","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,6",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","2490"
"Kenwood SJM290","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","1590"
"Kenwood SKM034","Kenwood",NA,NA,"нет","есть",NA,"нет","2200","1,25",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","черный","4490"
"Moulinex BAB1L1","Moulinex",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1060"
"Philips HD4649","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","серый","1220"
"Philips HD4649/20","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","1080"
"Philips HD4649/40","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","голубой","1220"
"Philips HD4649/53","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","желтый","1220"
"Philips HD4649/55","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","зеленый","1220"
"Philips HD4654","Philips",NA,"2 года","нет","есть",NA,NA,"2400","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","3780"
"Philips HD4665/20","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","серый","3590"
"Philips HD4667","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","есть",NA,NA,"механический",NA,"есть","серый","4270"
"Philips HD4670","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","серый","3180"
"Philips HD4686/30","Philips",NA,NA,"есть","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"электронный",NA,"есть","белый","5990"
"Philips HD4686/60","Philips",NA,NA,"есть","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"электронный",NA,"есть","бежевый","5990"
"Philips HD4686/90","Philips",NA,NA,"есть","есть",NA,"нет","2400","1,5",NA,"металл/пластик","скрытый","нет",NA,NA,"электронный",NA,"есть","черный","5990"
"Philips HD4690","Philips",NA,"2 года","есть","есть",NA,"нет","2400","1,5",NA,"металл","скрытый","есть",NA,NA,"механический","Да","есть","серый","4590"
"Tefal BF2631","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1290"
"Tefal BF2632","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","желтый","1280"
"Tefal BF5601","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1290"
"Tefal BF5611","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","желтый","1140"
"Tefal BF6120","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1240"
"Tefal BF6623","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","голубой","1690"
"Tefal BF6630","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1490"
"Tefal BI6625","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","2290"
"Tefal BI7625","Tefal",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","2240"
"Tefal BI9625","Tefal",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","2630"
"Tefal BK2630","Tefal",NA,NA,"нет","есть",NA,"есть","2200","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2930"
"Tefal BK9635","Tefal",NA,NA,"нет","есть",NA,"есть","2400","1,7",NA,"металл/пластик","скрытый","нет",NA,NA,"механический",NA,"есть","алюминиевый","4490"
